yolov3-tiny-data
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Loaded: 9.509367 seconds
Region 23 Avg IOU: 0.195652, Class: 0.559825, Obj: 0.642900, No Obj: 0.507023, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 16 Avg IOU: 0.230815, Class: 0.621275, Obj: 0.729490, No Obj: 0.603870, .5R: 0.083333, .75R: 0.000000,  count: 12
Region 23 Avg IOU: 0.157163, Class: 0.463492, Obj: 0.640665, No Obj: 0.508385, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 16 Avg IOU: 0.231817, Class: 0.412389, Obj: 0.647202, No Obj: 0.608911, .5R: 0.090909, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.174078, Class: 0.810673, Obj: 0.554235, No Obj: 0.507705, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 16 Avg IOU: 0.180870, Class: 0.535607, Obj: 0.681156, No Obj: 0.604320, .5R: 0.076923, .75R: 0.000000,  count: 13
Region 23 Avg IOU: 0.282461, Class: 0.608843, Obj: 0.645232, No Obj: 0.505181, .5R: 0.333333, .75R: 0.000000,  count: 3
Region 16 Avg IOU: 0.208736, Class: 0.463034, Obj: 0.686063, No Obj: 0.604535, .5R: 0.071429, .75R: 0.000000,  count: 14
Region 23 Avg IOU: 0.103557, Class: 0.542356, Obj: 0.476191, No Obj: 0.507352, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 16 Avg IOU: 0.214504, Class: 0.479265, Obj: 0.652294, No Obj: 0.605074, .5R: 0.100000, .75R: 0.000000,  count: 10
Region 23 Avg IOU: 0.373437, Class: 0.681171, Obj: 0.577608, No Obj: 0.505038, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 16 Avg IOU: 0.191290, Class: 0.457324, Obj: 0.666083, No Obj: 0.607149, .5R: 0.111111, .75R: 0.000000,  count: 9
Region 23 Avg IOU: 0.088622, Class: 0.477509, Obj: 0.474010, No Obj: 0.506392, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 16 Avg IOU: 0.141546, Class: 0.494658, Obj: 0.714643, No Obj: 0.599272, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 23 Avg IOU: 0.282269, Class: 0.599325, Obj: 0.684353, No Obj: 0.502570, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 16 Avg IOU: 0.119709, Class: 0.448929, Obj: 0.766431, No Obj: 0.601121, .5R: 0.000000, .75R: 0.000000,  count: 13
Region 23 Avg IOU: 0.218918, Class: 0.618421, Obj: 0.575256, No Obj: 0.505302, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 16 Avg IOU: 0.165497, Class: 0.417560, Obj: 0.702965, No Obj: 0.603287, .5R: 0.100000, .75R: 0.000000,  count: 10
Region 23 Avg IOU: 0.273645, Class: 0.962340, Obj: 0.060414, No Obj: 0.505656, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 16 Avg IOU: 0.227866, Class: 0.508469, Obj: 0.726718, No Obj: 0.606165, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 23 Avg IOU: 0.175345, Class: 0.506871, Obj: 0.622027, No Obj: 0.507685, .5R: 0.000000, .75R: 0.000000,  count: 3
5: 434.384491, 437.918488 avg, 0.000000 rate, 258.326696 seconds, 320 images
Loaded: 0.000127 seconds
Region 16 Avg IOU: 0.101581, Class: 0.464596, Obj: 0.632079, No Obj: 0.602259, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 23 Avg IOU: 0.167638, Class: 0.694914, Obj: 0.557002, No Obj: 0.505245, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 16 Avg IOU: 0.192703, Class: 0.444816, Obj: 0.668082, No Obj: 0.605396, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.436528, Class: 0.435887, Obj: 0.668719, No Obj: 0.507334, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 16 Avg IOU: 0.135505, Class: 0.510085, Obj: 0.703200, No Obj: 0.602029, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.174072, Class: 0.596694, Obj: 0.581674, No Obj: 0.503119, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 16 Avg IOU: 0.138731, Class: 0.412775, Obj: 0.705339, No Obj: 0.599207, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 23 Avg IOU: 0.107480, Class: 0.528483, Obj: 0.317927, No Obj: 0.502068, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 16 Avg IOU: 0.164292, Class: 0.444072, Obj: 0.775428, No Obj: 0.604128, .5R: 0.083333, .75R: 0.000000,  count: 12
Region 23 Avg IOU: 0.200971, Class: 0.699669, Obj: 0.413524, No Obj: 0.507115, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 16 Avg IOU: 0.135883, Class: 0.379396, Obj: 0.686582, No Obj: 0.604509, .5R: 0.083333, .75R: 0.000000,  count: 12
Region 23 Avg IOU: 0.199277, Class: 0.512420, Obj: 0.521195, No Obj: 0.503601, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 16 Avg IOU: 0.197331, Class: 0.380171, Obj: 0.544113, No Obj: 0.607735, .5R: 0.083333, .75R: 0.000000,  count: 12
Region 23 Avg IOU: 0.126303, Class: 0.399944, Obj: 0.522262, No Obj: 0.506610, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 16 Avg IOU: 0.216402, Class: 0.508756, Obj: 0.681406, No Obj: 0.595467, .5R: 0.083333, .75R: 0.000000,  count: 12
Region 23 Avg IOU: 0.279247, Class: 0.514370, Obj: 0.443644, No Obj: 0.504770, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 16 Avg IOU: 0.240422, Class: 0.442601, Obj: 0.703904, No Obj: 0.603902, .5R: 0.090909, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.214847, Class: 0.430735, Obj: 0.385638, No Obj: 0.505827, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 16 Avg IOU: 0.192580, Class: 0.482070, Obj: 0.696825, No Obj: 0.605155, .5R: 0.090909, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.176632, Class: 0.638587, Obj: 0.453280, No Obj: 0.505196, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 16 Avg IOU: 0.176160, Class: 0.396375, Obj: 0.584513, No Obj: 0.606684, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.154418, Class: 0.485066, Obj: 0.629147, No Obj: 0.506451, .5R: 0.000000, .75R: 0.000000,  count: 8
